municipality_id,name,short_name,municipality_type
ru21-city-cheboksary,Городской округ Чебоксары,Чебоксары (город),city
ru21-city-novocheboksarsk,Городской округ Новочебоксарск,Новочебоксарск,city
ru21-mo-alatyr,Алатырский муниципальный округ,Алатырский,okrug
ru21-mo-alikovo,Аликовский муниципальный округ,Аликовский,okrug
ru21-mo-batyrevo,Батыревский муниципальный округ,Батыревский,okrug
ru21-mo-vurnary,Вурнарский муниципальный округ,Вурнарский,okrug
ru21-mo-ibresi,Ибресинский муниципальный округ,Ибресинский,okrug
ru21-mo-kanash,Канашский муниципальный округ,Канашский,okrug
ru21-mo-kozlovka,Козловский муниципальный округ,Козловский,okrug
ru21-mo-komsomolskoe,Комсомольский муниципальный округ,Комсомольский,okrug
ru21-mo-krasnoarmeyskoe,Красноармейский муниципальный округ,Красноармейский,okrug
ru21-mo-krasnye-chetai,Красночетайский муниципальный округ,Красночетайский,okrug
ru21-mo-mariinsky-posad,Мариинско-Посадский муниципальный округ,Мариинско-Посадский,okrug
ru21-mo-morgaushi,Моргаушский муниципальный округ,Моргаушский,okrug
ru21-mo-poretskoe,Порецкий муниципальный округ,Порецкий,okrug
ru21-mo-urmary,Урмарский муниципальный округ,Урмарский,okrug
ru21-mo-tsivilsk,Цивильский муниципальный округ,Цивильский,okrug
ru21-mo-cheboksary-okrug,Чебоксарский муниципальный округ,Чебоксарский округ,okrug
ru21-mo-shemursha,Шемуршинский муниципальный округ,Шемуршинский,okrug
ru21-mo-shumerlya,Шумерлинский муниципальный округ,Шумерлинский,okrug
ru21-mo-yadrin,Ядринский муниципальный округ,Ядринский,okrug
ru21-mo-yalchiki,Яльчикский муниципальный округ,Яльчикский,okrug
ru21-mo-yantikovo,Янтиковский муниципальный округ,Янтиковский,okrug
